market_name,market_slug,market_url,market_listed_count,facility_name,operator,street_address,locality,detail_url
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Esbogatan 11 (STO1),Digital Realty,Esbogatan 11,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-akalla/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Esbogatan 11 (STO5),Digital Realty,Esbogatan 11,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-sto5/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Esbogatan 11 (STO4),Digital Realty,Esbogatan 11,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-sto4/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Esbogatan 11 (STO3),Digital Realty,Esbogatan 11,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-sto3/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Esbogatan 11 (STO2),Digital Realty,Esbogatan 11,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-sto2/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Vandagatan 3 (STO6),Digital Realty,Vandagatan 3,16474 Kista,https://www.datacentermap.com/sweden/stockholm/interxion-sto6/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,CityHosting KV108 DC1,City Hosting Sweden AB,Karlavägen 108,10451 Stockholm,https://www.datacentermap.com/sweden/stockholm/interoute-stockholm/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,CityHosting KV108 DC2,City Hosting Sweden AB,Karlavägen 106,10451 Stockholm,https://www.datacentermap.com/sweden/stockholm/cityhosting-kv108-dc2/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Conapto Stockholm 3 North,Conapto AB,Bäckvägen 18,192 54 Sollentuna,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-north/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Conapto Stockholm 2 South,Conapto AB,Stensätravägen 13,127 39 Skärholmen,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-south/
