market_name,market_slug,market_url,listed_count,scraped_facility_count
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,49
Sollefteå,solleftea,https://www.datacentermap.com/sweden/solleftea/,1,1
Falun,falun,https://www.datacentermap.com/sweden/falun/,2,2
Boden,boden,https://www.datacentermap.com/sweden/boden/,3,3
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,11
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,5
Pitea,pitea,https://www.datacentermap.com/sweden/pitea/,2,2
Lund,lund,https://www.datacentermap.com/sweden/lund/,2,2
Västerås,vasteras,https://www.datacentermap.com/sweden/vasteras/,2,2
Karlshamn,karlshamn,https://www.datacentermap.com/sweden/karlshamn/,2,2
Eskilstuna,eskilstuna,https://www.datacentermap.com/sweden/eskilstuna/,2,2
Norrköping,norrkoping,https://www.datacentermap.com/sweden/norrkoping/,1,1
Skellefteå,skelleftea,https://www.datacentermap.com/sweden/skelleftea/,1,1
Falkenberg,falkenberg,https://www.datacentermap.com/sweden/falkenberg/,1,1
Ljungaverk,ljungaverk,https://www.datacentermap.com/sweden/ljungaverk/,1,1
Vaxjo,vaxjo,https://www.datacentermap.com/sweden/vaxjo/,1,1
Tallberg,tallberg,https://www.datacentermap.com/sweden/tallberg/,1,1
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,17
Jonkoping,jonkoping,https://www.datacentermap.com/sweden/jonkoping/,1,1
Eslov,eslov,https://www.datacentermap.com/sweden/eslov/,1,1
Lulea,lulea,https://www.datacentermap.com/sweden/lulea/,1,1
Hudiksvall,hudiksvall,https://www.datacentermap.com/sweden/hudiksvall/,1,1
Boras,boras,https://www.datacentermap.com/sweden/boras/,1,1
Katrineholm,katrineholm,https://www.datacentermap.com/sweden/katrineholm/,1,1
Linkoping,linkoping,https://www.datacentermap.com/sweden/linkoping/,1,1
Lycksele,lycksele,https://www.datacentermap.com/sweden/lycksele/,1,1
Vallentuna,vallentuna,https://www.datacentermap.com/sweden/vallentuna/,1,1
Jokkmokk,jokkmokk,https://www.datacentermap.com/sweden/jokkmokk/,1,1
